"ï..date","class","focuses","uf"
"2019/10","Outros","41","maranhao"
"2020/09","Floresta","15","maranhao"
"2020/12","Outros","14","maranhao"
"2020/07","Desmatamento Recente","34","maranhao"
"2019/12","Desmatamento Recente","72","maranhao"
"2019/10","Desmatamento Consolidado","705","maranhao"
"2020/11","Outros","46","maranhao"
"2020/09","Outros","45","maranhao"
"2019/11","Floresta","18","maranhao"
"2020/10","Desmatamento Recente","69","maranhao"
"2019/12","Desmatamento Consolidado","711","maranhao"
"2020/07","Desmatamento Consolidado","195","maranhao"
"2020/01","Outros","3","maranhao"
"2019/09","Floresta","20","maranhao"
"2020/11","Desmatamento Consolidado","1098","maranhao"
"2020/12","Floresta","3","maranhao"
"2019/10","Floresta","18","maranhao"
"2020/03","Desmatamento Recente","1","maranhao"
"2020/08","Desmatamento Consolidado","248","maranhao"
"2019/09","Outros","52","maranhao"
"2020/08","Outros","13","maranhao"
"2020/01","Desmatamento Consolidado","12","maranhao"
"2020/12","Desmatamento Consolidado","427","maranhao"
"2020/08","Desmatamento Recente","51","maranhao"
"2020/02","Desmatamento Consolidado","7","maranhao"
"2019/08","Desmatamento Recente","13","maranhao"
"2019/10","Desmatamento Recente","97","maranhao"
"2020/08","Floresta","3","maranhao"
"2020/01","Outros","12","amazonas"
"2020/12","Floresta","10","amazonas"
"2020/06","Outros","17","amazonas"
"2020/02","Floresta","16","amazonas"
"2020/07","Desmatamento Recente","1088","amazonas"
"2020/02","Desmatamento Recente","27","amazonas"
"2020/04","Desmatamento Consolidado","9","amazonas"
"2020/06","Floresta","14","amazonas"
"2020/02","Desmatamento Consolidado","28","amazonas"
"2019/10","Desmatamento Consolidado","269","amazonas"
"2020/06","Desmatamento Consolidado","78","amazonas"
"2020/11","Desmatamento Consolidado","172","amazonas"
"2020/08","Outros","246","amazonas"
"2020/05","Outros","1","amazonas"
"2020/06","Desmatamento Recente","13","amazonas"
"2019/09","Floresta","281","amazonas"
"2020/03","Outros","11","amazonas"
"2020/03","Floresta","11","amazonas"
"2020/07","Floresta","226","amazonas"
"2020/05","Desmatamento Consolidado","9","amazonas"
"2020/03","Desmatamento Recente","15","amazonas"
"2020/07","Desmatamento Consolidado","775","amazonas"
"2019/08","Floresta","539","amazonas"
"2019/11","Outros","31","amazonas"
"2020/10","Desmatamento Recente","574","amazonas"
"2020/04","Floresta","1","amazonas"
"2020/04","Desmatamento Recente","2","amazonas"
"2020/07","Outros","30","amazonas"
"2020/08","Floresta","908","amazonas"
"2019/08","Desmatamento Recente","3779","amazonas"
"2019/10","Desmatamento Recente","214","amazonas"
"2020/02","Outros","2","amazonas"
"2020/03","Desmatamento Consolidado","40","amazonas"
"2020/01","Desmatamento Consolidado","104","amazonas"
"2020/08","Desmatamento Recente","4492","amazonas"
"2020/10","Desmatamento Consolidado","526","amazonas"
"2019/09","Outros","81","amazonas"
"2020/01","Desmatamento Recente","60","amazonas"
"2020/01","Floresta","21","amazonas"
"2020/08","Desmatamento Consolidado","2384","amazonas"
"2019/10","Floresta","49","amazonas"
"2020/12","Desmatamento Consolidado","94","amazonas"
"2019/12","Desmatamento Consolidado","78","amazonas"
"2020/09","Outros","108","amazonas"
"2020/11","Outros","19","amazonas"
"2019/12","Desmatamento Recente","62","amazonas"
"2019/12","Floresta","16","amazonas"
"2020/09","Floresta","475","amazonas"
"2020/12","Outros","10","amazonas"
"2019/12","Outros","7","amazonas"
"2019/09","Desmatamento Consolidado","1081","amazonas"
"2020/09","Desmatamento Recente","2149","amazonas"
"2019/10","Outros","16","amazonas"
"2020/11","Floresta","34","amazonas"
"2020/12","Desmatamento Recente","61","amazonas"
"2019/11","Desmatamento Consolidado","292","amazonas"
"2019/08","Desmatamento Consolidado","2252","amazonas"
"2020/09","Desmatamento Consolidado","1538","amazonas"
"2019/08","Outros","98","amazonas"
"2019/11","Desmatamento Recente","203","amazonas"
"2019/09","Desmatamento Recente","1583","amazonas"
"2019/11","Floresta","47","amazonas"
"2020/10","Outros","45","amazonas"
"2020/11","Desmatamento Recente","149","amazonas"
"2020/05","Desmatamento Recente","5","amazonas"
"2020/10","Floresta","120","amazonas"
"2019/12","Floresta","8","amapa"
"2020/07","Desmatamento Consolidado","1","amapa"
"2020/06","Outros","3","amapa"
"2020/10","Floresta","66","amapa"
"2020/07","Outros","1","amapa"
"2020/12","Desmatamento Consolidado","24","amapa"
"2019/09","Floresta","2","amapa"
"2019/10","Desmatamento Consolidado","145","amapa"
"2020/10","Desmatamento Recente","47","amapa"
"2020/11","Desmatamento Consolidado","25","amapa"
"2019/08","Floresta","2","amapa"
"2020/03","Desmatamento Consolidado","1","amapa"
"2019/10","Desmatamento Recente","49","amapa"
"2019/09","Outros","109","amapa"
"2020/08","Outros","9","amapa"
"2020/08","Floresta","1","amapa"
"2020/10","Desmatamento Consolidado","155","amapa"
"2020/02","Outros","1","amapa"
"2020/12","Desmatamento Recente","4","amapa"
"2020/01","Desmatamento Consolidado","1","amapa"
"2020/08","Desmatamento Recente","1","amapa"
"2020/12","Outros","5","amapa"
"2019/10","Outros","283","amapa"
"2020/01","Outros","1","amapa"
"2020/08","Desmatamento Consolidado","5","amapa"
"2020/11","Outros","40","amapa"
"2019/12","Desmatamento Consolidado","11","amapa"
"2019/08","Desmatamento Consolidado","2","amapa"
"2020/09","Outros","52","amapa"
"2019/12","Desmatamento Recente","4","amapa"
"2019/09","Desmatamento Consolidado","25","amapa"
"2020/09","Floresta","6","amapa"
"2020/11","Floresta","7","amapa"
"2019/12","Outros","44","amapa"
"2019/08","Outros","16","amapa"
"2020/09","Desmatamento Recente","3","amapa"
"2020/12","Floresta","5","amapa"
"2019/11","Desmatamento Consolidado","140","amapa"
"2019/09","Desmatamento Recente","2","amapa"
"2019/11","Desmatamento Recente","53","amapa"
"2020/09","Desmatamento Consolidado","23","amapa"
"2020/11","Desmatamento Recente","4","amapa"
"2019/08","Desmatamento Recente","1","amapa"
"2019/11","Floresta","52","amapa"
"2020/10","Outros","259","amapa"
"2019/11","Outros","258","amapa"
"2019/10","Floresta","63","amapa"
"2019/12","Desmatamento Recente","1","acre"
"2020/07","Outros","1","acre"
"2020/05","Desmatamento Recente","18","acre"
"2020/07","Floresta","29","acre"
"2020/04","Desmatamento Consolidado","4","acre"
"2020/07","Desmatamento Recente","184","acre"
"2020/03","Desmatamento Consolidado","1","acre"
"2020/12","Desmatamento Consolidado","2","acre"
"2020/07","Desmatamento Consolidado","121","acre"
"2020/08","Floresta","364","acre"
"2020/01","Desmatamento Consolidado","5","acre"
"2020/08","Desmatamento Recente","2308","acre"
"2020/01","Desmatamento Recente","11","acre"
"2020/08","Desmatamento Consolidado","906","acre"
"2020/05","Desmatamento Consolidado","21","acre"
"2020/06","Floresta","2","acre"
"2020/09","Floresta","408","acre"
"2019/11","Desmatamento Consolidado","21","acre"
"2020/09","Desmatamento Recente","2094","acre"
"2019/11","Desmatamento Recente","20","acre"
"2020/09","Desmatamento Consolidado","855","acre"
"2019/11","Floresta","3","acre"
"2020/10","Floresta","89","acre"
"2019/10","Desmatamento Consolidado","126","acre"
"2020/10","Desmatamento Recente","1079","acre"
"2019/10","Desmatamento Recente","215","acre"
"2020/06","Desmatamento Consolidado","42","acre"
"2020/10","Desmatamento Consolidado","484","acre"
"2020/06","Desmatamento Recente","27","acre"
"2019/09","Desmatamento Consolidado","771","acre"
"2020/11","Floresta","13","acre"
"2019/09","Desmatamento Recente","1901","acre"
"2020/11","Desmatamento Recente","68","acre"
"2019/09","Floresta","305","acre"
"2020/11","Desmatamento Consolidado","48","acre"
"2019/08","Desmatamento Consolidado","810","acre"
"2019/08","Desmatamento Recente","1972","acre"
"2019/08","Floresta","268","acre"
"2020/12","Desmatamento Recente","9","acre"
"2019/08","Outros","1","acre"
"2019/10","Floresta","13","acre"
"2020/04","Desmatamento Recente","0","para"
"2020/04","Floresta","0","para"
