ANO_ELEICAO,SIGLA_UF,NOME_MUNICIPIO,NOME_CANDIDATO,SIGLA_PARTIDO,NUMERO_CAND,TOTAL_VOTOS
2014,MG,BELO HORIZONTE,DIVA DOMINGOS DA SILVA,PSL,1711,7
2014,MG,BELO HORIZONTE,DIVA FERNANDES DA SILVA,PV,4302,495
2014,MG,BELO HORIZONTE,DIVINO HENRIQUES DOS SANTOS,PTC,3646,61
2014,MG,BELO HORIZONTE,DJALBERT JOSE DE ALMEIDA,PRTB,2828,17
2014,MG,BELO HORIZONTE,DOMINGOS FRANCISCO DE CASTRO,PT do B,7040,1543
2014,MG,BELO HORIZONTE,DOMINGOS SAVIO CAMPOS RESENDE,PSDB,4560,8631
2014,MG,BELO HORIZONTE,DULCINEIA PEREIRA DOS SANTOS,PSDB,4522,519
2014,MG,BELO HORIZONTE,EDENILSON DURAES DE OLIVEIRA,PPS,2322,152
2014,MG,BELO HORIZONTE,EDIVAM TEODORO,PSB,4027,86
2014,MG,BELO HORIZONTE,EDMAR LUIZ XAVIER NETO,PEN,5110,34
2014,MG,BELO HORIZONTE,EDMUNDO MIGUEL MARTINS,PT do B,7023,882
2014,MG,BELO HORIZONTE,EDNA DIAS SANTOS,PDT,1210,1738
2014,MG,BELO HORIZONTE,EDNA FERREIRA DE SALES OLIVEIRA,PPL,5480,109
2014,MG,BELO HORIZONTE,EDNA SARMENTO BARROS,PDT,1232,326
2014,MG,BELO HORIZONTE,EDNEIA SOUSA LIMA,PTB,1455,106
2014,MG,BELO HORIZONTE,EDSON CORREA BITENCOURT,PTC,3623,21
2014,MG,BELO HORIZONTE,EDSON GONCALVES SOARES,PT do B,7089,334
2014,MG,BELO HORIZONTE,EDSON MOREIRA DA SILVA,PTN,1907,28806
2014,MG,BELO HORIZONTE,EDSON TOYOSHI CHIBA,PSDC,2720,195
2014,MG,BELO HORIZONTE,EDUARDO DE SOUZA MAIA,PT do B,7008,1264
2014,MG,BELO HORIZONTE,EDUARDO LUIZ BARROS BARBOSA,PSDB,4535,5114
2014,MG,BELO HORIZONTE,EFRAIM LENINI SOARES FRAGA,PTC,3610,410
2014,MG,BELO HORIZONTE,ELBE FIGUEIREDO BRANDAO SANTIAGO,PSDB,4530,1201
2014,MG,BELO HORIZONTE,ELI JOSE DE MELO,PV,4363,90
2014,MG,BELO HORIZONTE,ELIANE DE FATIMA SOUZA,PT do B,7083,496
2014,MG,BELO HORIZONTE,ELIAS RAMOS SOARES,PT do B,7087,71
2014,MG,BELO HORIZONTE,ELISETE INACIO DOS SANTOS,PDT,1207,369
2014,MG,BELO HORIZONTE,ELISEU ANTONIO DE ASSIS,PTB,1409,250
2014,MG,BELO HORIZONTE,ELISEU LOURENCO DA SILVA,PT do B,7045,95
2014,MG,BELO HORIZONTE,ELIZA BEATRIZ GALLO,PT do B,7027,365
2014,MG,BELO HORIZONTE,ELIZABETH SIMOES,PTC,3613,23
2014,MG,BELO HORIZONTE,ELMIRO ALVES DO NASCIMENTO,DEM,2520,1541
2014,MG,BELO HORIZONTE,ELZI BARBOSA DA SILVA,PSB,4007,134
2014,MG,BELO HORIZONTE,ENEIAS ANTONIO MARTINS,PSOL,5077,234
2014,MG,BELO HORIZONTE,ERICO DE MORAES COLEN,PSOL,5000,875
2014,MG,BELO HORIZONTE,ERNANE RIBEIRO PITANGUI,PMN,3310,1205
2014,MG,BELO HORIZONTE,EROS FERREIRA BIONDINI,PTB,1433,39843
2014,MG,BELO HORIZONTE,ESCARLET ORRANA TEIXEIRA RIBEIRO,PTB,1403,43
